Name,URL,Description,Image,Rating,Rating Count,Content Rating,Genre,Duration
Dragon Ball Z,https://www.imdb.com/title/tt0214341/,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",https://m.media-amazon.com/images/M/MV5BNGM5MTEyZDItZWNhOS00NzNkLTgwZTAtNWIzY2IzZmExOWMxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.8,149089,PG,"Animation, Action, Adventure",
Twin Peaks,https://www.imdb.com/title/tt0098936/,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_.jpg,8.8,216879,PG,"Crime, Drama, Mystery",
Narcos,https://www.imdb.com/title/tt2707408/,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,8.8,473701,15,"Biography, Crime, Drama",
Chappelle&apos;s Show,https://www.imdb.com/title/tt0353049/,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,https://m.media-amazon.com/images/M/MV5BOWNjYTg5NGMtOWRjNy00ZGNlLTg2MmYtZjQ5NTM0MTQxOGM2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.8,72168,15,"Comedy, Music",
Dragon Ball Z: Doragon bôru zetto,https://www.imdb.com/title/tt0121220/,"The adventures of Earth&apos;s martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",https://m.media-amazon.com/images/M/MV5BMGU2NjZhMmUtNTYzYS00OTMyLTkzZDAtMTkzNDIwNWFkM2I0XkEyXkFqcGdeQXVyMTY3NTgwODk5._V1_.jpg,8.8,88480,PG,"Animation, Action, Adventure",
Panchayat,https://www.imdb.com/title/tt12004706/,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",https://m.media-amazon.com/images/M/MV5BOGRmMjc4MjEtM2E4YS00NjM5LWIwYzUtYTFlNTdhMTRhNmJjXkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_.jpg,9.0,93161,15,"Comedy, Drama",
Gullak,https://www.imdb.com/title/tt10530900/,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",https://m.media-amazon.com/images/M/MV5BMzllMWE4YTgtODM3OS00MGEyLWEwMjktNWQzZjFjNWNhMGNmXkEyXkFqcGc@._V1_.jpg,9.1,22920,,"Comedy, Drama, Family",
"I, Claudius",https://www.imdb.com/title/tt0074006/,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",https://m.media-amazon.com/images/M/MV5BZWM1MDY1MjYtYTAzZC00MDJiLTk4MjAtOGQzNDI4YWU1MWQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.8,19512,15,"Biography, Drama, History",
Black Mirror,https://www.imdb.com/title/tt2085059/,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- &quot;Black Mirror&quot; is a contemporary reworking of &quot;The Twilight Zone&quot; with stories that tap into the collective unease about the moder...",https://m.media-amazon.com/images/M/MV5BZTgyNTBkNzctN2I3NC00NTA1LWJiMDMtYzA2MmYyZjc1NWQzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.7,644908,18,"Crime, Drama, Mystery",
South Park,https://www.imdb.com/title/tt0121955/,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",https://m.media-amazon.com/images/M/MV5BZjNhODYzZGItZWQ3Ny00ZjViLTkxMTUtM2EzN2RjYjU2OGZiXkEyXkFqcGdeQXVyMTI5MTc0OTIy._V1_.jpg,8.7,408056,PG,"Animation, Comedy",
Vinland Saga,https://www.imdb.com/title/tt10233448/,"Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",https://m.media-amazon.com/images/M/MV5BYTAwM2FhMzItMzFmMS00ZDY2LTk0NDctNTI3MDU2OTNjZWVlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.8,74493,15,"Animation, Action, Adventure",
Ted Lasso,https://www.imdb.com/title/tt10986410/,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",https://m.media-amazon.com/images/M/MV5BMTdmZjBjZjQtY2JiNS00Y2ZlLTg2NzgtMjUzMGY2OTVmOWJiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,8.8,354571,15,"Comedy, Drama, Sport",
Over the Garden Wall,https://www.imdb.com/title/tt3718778/,Two brothers find themselves lost in a mysterious land and try to find their way home.,https://m.media-amazon.com/images/M/MV5BYzhjNzI0NWEtMzEyYy00OGViLThhMjctMWQxNGQ3Y2IzOTY4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.8,71333,PG,"Animation, Short, Adventure",
Kota Factory,https://www.imdb.com/title/tt9432978/,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",https://m.media-amazon.com/images/M/MV5BM2E5Yjk2OGItZjRkOS00NmUzLWE0MDUtZjJlMjQ4ODk0YjU2XkEyXkFqcGc@._V1_.jpg,9.0,81231,12,"Comedy, Drama",
Eungdaphara 1988,https://www.imdb.com/title/tt5182866/,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",https://m.media-amazon.com/images/M/MV5BMzU4ZjUyYjMtYjNmMi00Y2ViLTg5Y2MtN2U4N2M1MjliYTYyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,9.1,12224,,"Comedy, Drama, Family",
Peaky Blinders,https://www.imdb.com/title/tt2442560/,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",https://m.media-amazon.com/images/M/MV5BMTQxODYzNTQzOV5BMl5BanBnXkFtZTgwMTI2MDYwMDE@._V1_.jpg,8.8,657648,18,"Crime, Drama",
Bleach: Sennen Kessen-hen,https://www.imdb.com/title/tt14986406/,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who&apos;s behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura ...",https://m.media-amazon.com/images/M/MV5BODFmYTUwYzMtM2M2My00NGExLWIzMDctYmRjNTNhZDc4MGI2XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,9.0,36449,16,"Animation, Action, Adventure",
Six Feet Under,https://www.imdb.com/title/tt0248654/,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,https://m.media-amazon.com/images/M/MV5BN2FmMjg0Y2YtYmMyYi00MTBjLTllYzMtN2VjYzRhOTVmNWRlXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,8.7,150468,18,"Comedy, Drama",
Rome,https://www.imdb.com/title/tt0384766/,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,https://m.media-amazon.com/images/M/MV5BYTM4MmU1NWYtNzJjYy00YWFhLThjOGEtZmMxOGI1NzE0NGNiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,8.7,186480,18,"Action, Drama, Romance",
Oz,https://www.imdb.com/title/tt0118421/,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,https://m.media-amazon.com/images/M/MV5BYjY3N2M2YjgtZTFjZS00ODA1LWJjMDgtNDgxZDllZWFiMmYyXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,8.7,107273,15,"Crime, Drama, Thriller",
Steins;Gate,https://www.imdb.com/title/tt1910272/,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_.jpg,8.8,74314,12,"Animation, Comedy, Drama",
The Last of Us,https://www.imdb.com/title/tt3581920/,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity&apos;s last hope.",https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_.jpg,8.7,539417,15,"Action, Adventure, Drama",
Dark,https://www.imdb.com/title/tt5753856/,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_.jpg,8.7,449491,15,"Crime, Drama, Mystery",
The Boys,https://www.imdb.com/title/tt1190634/,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,https://m.media-amazon.com/images/M/MV5BYTY2ZjYyNGUtZGVkZS00MDNhLWIwMjMtZDk4MmQ5ZWI0NTY4XkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_.jpg,8.7,667649,18,"Action, Comedy, Crime",
Fleabag,https://www.imdb.com/title/tt5687612/,Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,https://m.media-amazon.com/images/M/MV5BMjA4MzU5NzQxNV5BMl5BanBnXkFtZTgwOTg3MDA5NzM@._V1_.jpg,8.7,204955,15,"Comedy, Drama",
Blue Eye Samurai,https://www.imdb.com/title/tt13309742/,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",https://m.media-amazon.com/images/M/MV5BNjg5YzIwMmMtOWMzZS00NWExLWE3MTUtZjVmNjVlNjdmZjY0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,8.7,70366,18,"Animation, Action, Adventure",
The Shield,https://www.imdb.com/title/tt0286486/,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,https://m.media-amazon.com/images/M/MV5BMTcwNzQwODI5NV5BMl5BanBnXkFtZTcwNzQxMjI5MQ@@._V1_.jpg,8.7,88732,15,"Crime, Drama, Thriller",
Kenpuu Denki Berserk,https://www.imdb.com/title/tt0318871/,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group&apos;s leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.",https://m.media-amazon.com/images/M/MV5BNzgwY2QwYjItYTM1NS00OTZmLThlMjUtNmE0Mzg0OGE0NzE3XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.7,54452,18,"Animation, Action, Adventure",
Battlestar Galactica,https://www.imdb.com/title/tt0407362/,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",https://m.media-amazon.com/images/M/MV5BZjBjMjk4YWQtZjY1MC00NTI5LWEwZDMtYWMyYjk2MjkzMThhXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_.jpg,8.7,176656,12,"Action, Adventure, Drama",
Downton Abbey,https://www.imdb.com/title/tt1606375/,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,226145,12,"Drama, Romance",
The Simpsons,https://www.imdb.com/title/tt0096697/,The satiric half-hour adventures of a working-class family in the misfit city of Springfield.,https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,8.7,438025,PG,"Animation, Comedy",
Shôgun,https://www.imdb.com/title/tt2788316/,"When a mysterious European ship is found marooned in a nearby fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",https://m.media-amazon.com/images/M/MV5BNjcxNDZkMjgtZjliYy00NDgzLThkMmQtMjNiOWJkZjQ5MTUzXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_.jpg,8.7,142224,TV-MA,"Adventure, Drama, History",
Severance,https://www.imdb.com/title/tt11280740/,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,8.7,207119,15,"Drama, Mystery, Sci-Fi",
House M.D.,https://www.imdb.com/title/tt0412142/,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,519360,15,"Drama, Mystery",
Mad Men,https://www.imdb.com/title/tt0804503/,"A drama about one of New York&apos;s most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm&apos;s most mysterious but extremely talented ad executives, Donald Draper.",https://m.media-amazon.com/images/M/MV5BNTgxNDZlODQtNDcwOC00NWQ5LTljNWMtMDhjY2U5YTUzMTc4XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,8.7,262030,15,Drama,
Arrested Development,https://www.imdb.com/title/tt0367279/,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",https://m.media-amazon.com/images/M/MV5BNTFlYTE2YTItZmQ1NS00ZWQ5LWI3OGUtYTQzNDMyZmEyYTZjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg,8.7,325579,PG,Comedy,
Peep Show,https://www.imdb.com/title/tt0387764/,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,https://m.media-amazon.com/images/M/MV5BZjYwMWJhOWMtZTc5ZC00MGY0LTg0ZjktMzFhODhhZGZhNDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,67028,18,Comedy,
One Punch Man: Wanpanman,https://www.imdb.com/title/tt4508902/,"The story of Saitama, a hero that does it just for fun &amp; can defeat his enemies with a single punch.",https://m.media-amazon.com/images/M/MV5BZjJlNzE5YzEtYzQwYS00NTBjLTk5YzAtYzUwOWQyM2E3OGI2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,8.7,187589,15,"Animation, Action, Comedy",
Star Trek: The Next Generation,https://www.imdb.com/title/tt0092455/,"Set almost 100 years after Captain Kirk&apos;s 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",https://m.media-amazon.com/images/M/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,8.7,137257,PG,"Action, Adventure, Drama",
Invincible,https://www.imdb.com/title/tt6741278/,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,https://m.media-amazon.com/images/M/MV5BZGY2ZTQxZGUtZDY2ZC00Mjc5LTlkZWQtNTA5YjUwOTIxYjEzXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_.jpg,8.7,209536,18,"Animation, Action, Adventure",
Mahabharat,https://www.imdb.com/title/tt0158417/,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",https://m.media-amazon.com/images/M/MV5BMGE1MTlmNmYtMTg4Zi00NWRmLWIxMzktMTViNjRmYTQ5NDI2XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_.jpg,8.9,23461,TV-14,"Action, Adventure, Drama",
The Grand Tour,https://www.imdb.com/title/tt5712554/,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",https://m.media-amazon.com/images/M/MV5BMTg4ZTYzY2UtMGZiNS00YTdmLThmM2MtODRlNWY1MWJkMTQyXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_.jpg,8.7,84115,PG,"Comedy, Sport, Talk-Show",
Stranger Things,https://www.imdb.com/title/tt4574334/,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,8.7,1350030,15,"Drama, Fantasy, Horror",
The Adventures of Sherlock Holmes,https://www.imdb.com/title/tt0086661/,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",https://m.media-amazon.com/images/M/MV5BMmQ0MmI3YjktNDlkNi00YTBkLTk5OGItNjhkNmM1NGI1M2IwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg,8.7,24351,15,"Crime, Drama, Mystery",
Justice League Unlimited,https://www.imdb.com/title/tt6025022/,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,https://m.media-amazon.com/images/M/MV5BYzgwNjUzNGMtMGI0Zi00NGM3LTkxZDQtNzdmZmRiOTU4YzllXkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_.jpg,8.7,20591,PG,"Animation, Action, Adventure",
The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/,"After her husband leaves her, young mother of two Miriam &quot;Midge&quot; Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",https://m.media-amazon.com/images/M/MV5BMTE1MTgyNzY5NTleQTJeQWpwZ15BbWU4MDA2NDkyODYz._V1_.jpg,8.7,143903,15,"Comedy, Drama",
Friday Night Lights,https://www.imdb.com/title/tt0758745/,"A drama that follows the lives of the Dillon Panthers, one of the nation&apos;s best high school football teams, and their head coach Eric Taylor.",https://m.media-amazon.com/images/M/MV5BYTkxZDVhZGItZjM3Yi00YTU1LTk2ZDYtYTI4NTg2Mjc0NWY1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,72832,12,"Drama, Sport",
Naruto: Shippûden,https://www.imdb.com/title/tt0988824/,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",https://m.media-amazon.com/images/M/MV5BZGFiMWFhNDAtMzUyZS00NmQ2LTljNDYtMmZjNTc5MDUxMzViXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.7,172765,PG,"Animation, Action, Adventure",
Line of Duty,https://www.imdb.com/title/tt2303687/,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",https://m.media-amazon.com/images/M/MV5BOTgxNTRiNWYtZjMyNS00OTNiLWFjNzMtNWQ3ZDFhYTEyNDEwXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg,8.7,70896,15,"Crime, Drama, Mystery",
Behzat Ç.: Bir Ankara Polisiyesi,https://www.imdb.com/title/tt1795096/,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,https://m.media-amazon.com/images/M/MV5BZDZjY2I5ZjEtZGE2MS00ZjRmLTlmMGEtMDQ5ZmZhZWJjYzk3XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_.jpg,8.9,33035,TV-14,"Crime, Drama, Mystery",
1883,https://www.imdb.com/title/tt13991232/,"The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",https://m.media-amazon.com/images/M/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,8.7,118312,15,"Drama, Western",
Top Gear,https://www.imdb.com/title/tt1628033/,"The hosts talk about everything car-related. From new cars to how they&apos;re fueled, this show has it all.",https://m.media-amazon.com/images/M/MV5BYzkwZDgwZmQtOWE4Yy00ZjgyLTgxZTYtZTRiMTg5MWY4NTFiXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,127735,PG,"Adventure, Sport, Talk-Show",
Monster,https://www.imdb.com/title/tt0434706/,"Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in the midst of a string of unusual serial...",https://m.media-amazon.com/images/M/MV5BM2ZkYTAwMGMtOGEwOS00MzBjLTgxOGYtZTYwY2E1ZjMyZmY4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,8.7,45762,15,"Animation, Crime, Drama",
Sarabhai V/S Sarabhai,https://www.imdb.com/title/tt1518542/,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",https://m.media-amazon.com/images/M/MV5BNjYxNzBhMmQtZjM4Yy00MGZiLWFmNDAtYmVkZGM0MWNlMTU3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.9,18219,TV-PG,Comedy,
The Mandalorian,https://www.imdb.com/title/tt8111088/,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",https://m.media-amazon.com/images/M/MV5BN2M5YWFjN2YtYzU2YS00NzBlLTgwZWUtYWQzNWFhNDkyYjg3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,8.6,592581,12,"Action, Adventure, Fantasy",
The Thick of It,https://www.imdb.com/title/tt0459159/,The Minister for Social Affairs is continually harassed by Number 10&apos;s policy enforcer and dependent on his not-so-reliable team of civil servants.,https://m.media-amazon.com/images/M/MV5BZjc0ZDA5OTItYzhjNi00ZTJjLTg4OTYtZjk3NzBhODRlMTViXkEyXkFqcGdeQXVyMjc5OTMxMzQ@._V1_.jpg,8.7,26303,18,Comedy,
How to with John Wilson,https://www.imdb.com/title/tt10801534/,An anxious New Yorker attempts to give everyday advice while dealing with his own personal issues.,https://m.media-amazon.com/images/M/MV5BMDg1ZDFiNjUtYjA5OC00NmU2LTgxOTAtZmUzZDkwZGIyZGJhXkEyXkFqcGdeQXVyNjYyMjE4NDY@._V1_.jpg,8.7,13544,15,"Documentary, Comedy",
Aspirants,https://www.imdb.com/title/tt14392248/,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,https://m.media-amazon.com/images/M/MV5BYWIzMDEyOTItNzA0OC00YmU1LTk3OWUtNjM4ZmE4ZDcyNWZmXkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_.jpg,9.2,312320,,Drama,
This Is Us,https://www.imdb.com/title/tt5555260/,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",https://m.media-amazon.com/images/M/MV5BMjY1Mzk4ZjgtZWMxZS00ZjVhLWFiNDAtZWVlYmQzM2M3ZGExXkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_.jpg,8.7,160347,PG,"Comedy, Drama, Romance",
Father Ted,https://www.imdb.com/title/tt0111958/,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",https://m.media-amazon.com/images/M/MV5BYWY5NjRjYTItNmFkMC00MmY2LWIyYzUtMGRhMjMyZDI1OTc2XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,8.7,44051,PG,Comedy,
House of Cards,https://www.imdb.com/title/tt1856010/,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,https://m.media-amazon.com/images/M/MV5BNmM4ODU1MzItODYyYi00Y2U0LWFjZjItYTRhZWIwOGMyZTRhXkEyXkFqcGdeQXVyNjc2NTQ4Nzk@._V1_.jpg,8.6,532797,18,Drama,
Atlanta,https://www.imdb.com/title/tt4288182/,"Earn and his cousin, Alfred, try to make their way in the world through Atlanta&apos;s rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood.",https://m.media-amazon.com/images/M/MV5BZGU1MzRhNmMtNDExOS00NTk2LWJlYzMtMzc4YWYyN2Q3M2ZmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.6,88934,15,"Comedy, Drama, Music",
Parks and Recreation,https://www.imdb.com/title/tt1266020/,The absurd antics of an Indiana town&apos;s public officials as they pursue sundry projects to make their city a better place.,https://m.media-amazon.com/images/M/MV5BYWNkOTg0OTMtZTcyNy00MWU1LWJhZDQtYjQzMjU1NjBhYzI2XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_.jpg,8.6,289985,15,Comedy,
Kôdo Giasu: Hangyaku no Rurûshu,https://www.imdb.com/title/tt0994314/,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",https://m.media-amazon.com/images/M/MV5BYzZjY2MzYTAtMmQxMi00MWVjLTlkZGQtYjJmNWVhODY3YjdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.7,81155,15,"Animation, Action, Drama",
The Crown,https://www.imdb.com/title/tt4786824/,Follows the political rivalries and romances of Queen Elizabeth II&apos;s reign and the events that shaped Britain for the second half of the 20th century.,https://m.media-amazon.com/images/M/MV5BYTE1NGIyYjgtYjk4ZC00ZDBlLTk0YWItYWU4NWZkN2YyNDY2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.6,258567,PG,"Biography, Drama, History",
Deadwood,https://www.imdb.com/title/tt0348914/,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",https://m.media-amazon.com/images/M/MV5BMWE2MmU2MmEtNTVhMS00MTBhLWIyZjAtOGY2MGYxZGZlMDRhXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg,8.6,118395,18,"Crime, Drama, History",
The X Files,https://www.imdb.com/title/tt0106179/,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",https://m.media-amazon.com/images/M/MV5BOTQ4YjNiODAtN2I5Ni00OWQzLWFhNmUtNjg0NDIzMjZmMDFlXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_.jpg,8.6,251382,PG,"Crime, Drama, Mystery",
Dexter,https://www.imdb.com/title/tt0773262/,"He&apos;s smart. He&apos;s lovable. He&apos;s Dexter Morgan, America&apos;s favorite serial killer, who spends his days solving crimes and nights committing them.",https://m.media-amazon.com/images/M/MV5BZjkzMmU5MjMtODllZS00OTA5LTk2ZTEtNjdhYjZhMDA5ZTRhXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_.jpg,8.6,774387,18,"Crime, Drama, Mystery",
